h;s;l;emotion
192;100;25;грусть
194;100;25;грусть
196;100;25;грусть
198;100;25;грусть
200;100;25;грусть
202;100;25;грусть
204;100;25;грусть
206;100;25;грусть
208;100;25;грусть
210;100;25;грусть
212;100;25;грусть
214;100;25;грусть
216;100;25;грусть
218;100;25;грусть
220;100;25;грусть
222;100;25;грусть
224;100;25;грусть
226;100;25;грусть
228;100;25;грусть
230;100;25;грусть
232;100;25;грусть
234;100;25;грусть
236;100;25;грусть
238;100;25;грусть
240;100;25;грусть
242;100;25;грусть
244;100;25;грусть
246;100;25;грусть
248;100;25;грусть
250;100;25;грусть
252;100;25;грусть
254;100;25;грусть
256;100;25;грусть
258;100;25;грусть
260;100;25;грусть
262;100;25;грусть
264;100;25;грусть
266;100;25;грусть
268;100;25;грусть
270;100;25;грусть
272;100;25;грусть
274;100;25;грусть
276;100;25;грусть
278;100;25;грусть
280;100;25;грусть
282;100;25;грусть
284;100;25;грусть
286;100;25;грусть
288;100;25;грусть
290;100;25;грусть
292;100;25;грусть
294;100;25;грусть
296;100;25;грусть
298;100;25;удивление
292;100;25;удивление
294;100;25;удивление
296;100;25;удивление
298;100;25;удивление
300;100;25;удивление
302;100;25;удивление
304;100;25;удивление
306;100;25;удивление
308;100;25;удивление
310;100;25;удивление
312;100;25;удивление
314;100;25;удивление
316;100;25;удивление
318;100;25;удивление
320;100;25;удивление
322;100;25;гнев
324;100;25;гнев
326;100;25;гнев
328;100;25;гнев
330;100;25;гнев
332;100;25;гнев
334;100;25;гнев
336;100;25;гнев
338;100;25;гнев
340;100;25;гнев
342;100;25;гнев
344;100;25;гнев
346;100;25;гнев
348;100;25;гнев
350;100;25;гнев
352;100;25;гнев
354;100;25;гнев
356;100;25;гнев
358;100;25;гнев
0;100;33;гнев
4;100;33;гнев
8;100;33;гнев
12;100;33;гнев
16;100;33;гнев
20;100;33;гнев
20;100;33;страх
22;100;33;страх
24;100;33;страх
26;100;33;страх
28;100;33;страх
30;100;33;страх
32;100;33;страх
34;100;33;страх
36;100;33;страх
38;100;33;страх
40;100;33;страх
42;100;33;страх
44;100;33;страх
46;100;33;страх
48;100;33;страх
50;100;33;страх
52;100;33;страх
54;100;33;страх
56;100;33;страх
58;100;33;страх
60;100;33;страх
62;100;33;страх
64;100;33;страх
66;100;33;страх
68;100;33;страх
70;100;33;страх
72;100;33;страх
74;100;33;страх
76;100;33;страх
78;100;33;страх
80;100;33;радость
82;100;33;радость
84;100;33;радость
86;100;33;радость
88;100;33;радость
90;100;33;радость
92;100;33;радость
94;100;33;радость
96;100;33;радость
98;100;33;радость
100;100;33;радость
102;100;33;радость
104;100;33;радость
106;100;33;радость
108;100;33;радость
110;100;33;радость
112;100;33;радость
114;100;33;радость
116;100;33;радость
118;100;33;радость
120;100;33;радость
122;100;33;радость
124;100;33;радость
126;100;33;радость
128;100;33;радость
130;100;33;радость
132;100;33;радость
134;100;33;радость
136;100;33;радость
138;100;33;радость
140;100;33;радость
142;100;33;радость
144;100;33;радость
146;100;33;радость
148;100;33;радость
150;100;33;радость
152;100;33;удивление
154;100;33;удивление
156;100;33;удивление
158;100;33;удивление
160;100;33;удивление
162;100;33;удивление
164;100;33;удивление
166;100;33;удивление
168;100;33;удивление
170;100;33;удивление
172;100;33;удивление
174;100;33;удивление
176;100;33;удивление
178;100;33;удивление
180;100;33;удивление
182;100;33;удивление
184;100;33;удивление
186;100;33;удивление
188;100;33;удивление
190;100;33;грусть
192;100;33;грусть
194;100;33;грусть
196;100;33;грусть
198;100;33;грусть
200;100;33;грусть
202;100;33;грусть
204;100;33;грусть
206;100;33;грусть
208;100;33;грусть
210;100;33;грусть
212;100;33;грусть
214;100;33;грусть
216;100;33;грусть
218;100;33;грусть
220;100;33;грусть
222;100;33;грусть
224;100;33;грусть
226;100;33;грусть
228;100;33;грусть
230;100;33;грусть
232;100;33;грусть
234;100;33;грусть
236;100;33;грусть
238;100;33;грусть
240;100;33;грусть
242;100;33;грусть
244;100;33;грусть
246;100;33;грусть
248;100;33;грусть
250;100;33;грусть
252;100;33;грусть
254;100;33;грусть
256;100;33;грусть
258;100;33;грусть
260;100;33;грусть
262;100;33;грусть
264;100;33;грусть
266;100;33;грусть
268;100;33;грусть
270;100;33;грусть
272;100;33;грусть
274;100;33;грусть
276;100;33;грусть
278;100;33;грусть
280;100;33;грусть
282;100;33;грусть
284;100;33;грусть
286;100;33;грусть
288;100;33;грусть
290;100;33;удивление
292;100;33;удивление
294;100;33;удивление
296;100;33;удивление
298;100;33;удивление
292;100;33;удивление
294;100;33;удивление
296;100;33;удивление
298;100;33;удивление
300;100;33;удивление
302;100;33;удивление
304;100;33;удивление
306;100;33;удивление
308;100;33;удивление
310;100;33;удивление
312;100;33;удивление
314;100;33;удивление
316;100;33;удивление
318;100;33;удивление
320;100;33;удивление
322;100;33;удивление
324;100;33;удивление
326;100;33;удивление
328;100;33;удивление
330;100;33;гнев
332;100;33;гнев
334;100;33;гнев
336;100;33;гнев
338;100;33;гнев
340;100;33;гнев
342;100;33;гнев
344;100;33;гнев
346;100;33;гнев
348;100;33;гнев
350;100;33;гнев
352;100;33;гнев
354;100;33;гнев
356;100;33;гнев
358;100;33;гнев
0;91;40;гнев
4;91;40;гнев
8;91;40;гнев
12;91;40;гнев
16;91;40;гнев
20;91;40;страх
20;91;40;страх
22;91;40;страх
24;91;40;страх
26;91;40;страх
28;91;40;страх
30;91;40;страх
32;91;40;страх
34;91;40;страх
36;91;40;страх
38;91;40;страх
40;91;40;страх
42;91;40;страх
44;91;40;страх
46;91;40;страх
48;91;40;страх
50;91;40;страх
52;91;40;страх
54;91;40;страх
56;91;40;страх
58;91;40;страх
60;91;40;страх
62;91;40;страх
64;91;40;страх
66;91;40;страх
68;91;40;страх
70;91;40;страх
72;91;40;страх
74;91;40;страх
76;91;40;страх
78;91;40;страх
80;91;40;радость
82;91;40;радость
84;91;40;радость
86;91;40;радость
88;91;40;радость
90;91;40;радость
92;91;40;радость
94;91;40;радость
96;91;40;радость
98;91;40;радость
100;91;40;радость
102;91;40;радость
104;91;40;радость
106;91;40;радость
108;91;40;радость
110;91;40;радость
112;91;40;радость
114;91;40;радость
116;91;40;радость
118;91;40;радость
120;91;40;радость
122;91;40;радость
124;91;40;радость
126;91;40;радость
128;91;40;радость
130;91;40;радость
132;91;40;радость
134;91;40;радость
136;91;40;радость
138;91;40;радость
140;91;40;радость
142;91;40;радость
144;91;40;радость
146;91;40;радость
148;91;40;радость
150;91;40;радость
152;91;40;удивление
154;91;40;удивление
156;91;40;удивление
158;91;40;удивление
160;91;40;удивление
162;91;40;удивление
164;91;40;удивление
166;91;40;удивление
168;91;40;удивление
170;91;40;удивление
172;91;40;удивление
174;91;40;удивление
176;91;40;удивление
178;91;40;удивление
180;91;40;удивление
182;91;40;удивление
184;91;40;удивление
186;91;40;удивление
188;91;40;удивление
190;91;40;грусть
192;91;40;грусть
194;91;40;грусть
196;91;40;грусть
198;91;40;грусть
200;91;40;грусть
202;91;40;грусть
204;91;40;грусть
206;91;40;грусть
208;91;40;грусть
210;91;40;грусть
212;91;40;грусть
214;91;40;грусть
216;91;40;грусть
218;91;40;грусть
220;91;40;грусть
222;91;40;грусть
224;91;40;грусть
226;91;40;грусть
228;91;40;грусть
230;91;40;грусть
232;91;40;грусть
234;91;40;грусть
236;91;40;грусть
238;91;40;грусть
240;91;40;грусть
242;91;40;грусть
244;91;40;грусть
246;91;40;грусть
248;91;40;грусть
250;91;40;грусть
252;91;40;грусть
254;91;40;грусть
256;91;40;грусть
258;91;40;грусть
260;91;40;грусть
262;91;40;грусть
264;91;40;грусть
266;91;40;грусть
268;91;40;грусть
270;91;40;грусть
272;91;40;грусть
274;91;40;грусть
276;91;40;грусть
278;91;40;грусть
280;91;40;грусть
282;91;40;грусть
284;91;40;грусть
286;91;40;грусть
288;91;40;грусть
290;91;40;удивление
292;91;40;удивление
294;91;40;удивление
296;91;40;удивление
298;91;40;удивление
292;91;40;удивление
294;91;40;удивление
296;91;40;удивление
298;91;40;удивление
300;91;40;удивление
302;91;40;удивление
304;91;40;удивление
306;91;40;удивление
308;91;40;удивление
310;91;40;удивление
312;91;40;удивление
314;91;40;удивление
316;91;40;удивление
318;91;40;удивление
320;91;40;удивление
322;91;40;удивление
324;91;40;удивление
326;91;40;удивление
328;91;40;удивление
330;91;40;гнев
332;91;40;гнев
334;91;40;гнев
336;91;40;гнев
338;91;40;гнев
340;91;40;гнев
342;91;40;гнев
344;91;40;гнев
346;91;40;гнев
348;91;40;гнев
350;91;40;гнев
352;91;40;гнев
354;91;40;гнев
356;91;40;гнев
358;91;40;гнев
0;100;100;радость
2;100;100;радость
4;100;100;радость
6;100;100;радость
8;100;100;радость
10;100;100;радость
12;100;100;радость
14;100;100;радость
16;100;100;радость
18;100;100;радость
20;100;100;радость
22;100;100;радость
24;100;100;радость
26;100;100;радость
28;100;100;радость
30;100;100;радость
32;100;100;радость
34;100;100;радость
36;100;100;радость
38;100;100;радость
40;100;100;радость
42;100;100;радость
44;100;100;радость
46;100;100;радость
48;100;100;радость
50;100;100;радость
52;100;100;радость
54;100;100;радость
56;100;100;радость
58;100;100;радость
60;100;100;радость
62;100;100;радость
64;100;100;радость
66;100;100;радость
68;100;100;радость
70;100;100;радость
72;100;100;радость
74;100;100;радость
76;100;100;радость
78;100;100;радость
80;100;100;радость
82;100;100;радость
84;100;100;радость
86;100;100;радость
88;100;100;радость
90;100;100;радость
92;100;100;радость
94;100;100;радость
96;100;100;радость
98;100;100;радость
100;100;100;радость
102;100;100;радость
104;100;100;радость
106;100;100;радость
108;100;100;радость
110;100;100;радость
112;100;100;радость
114;100;100;радость
116;100;100;радость
118;100;100;радость
120;100;100;радость
122;100;100;радость
124;100;100;радость
126;100;100;радость
128;100;100;радость
130;100;100;радость
132;100;100;радость
134;100;100;радость
136;100;100;радость
138;100;100;радость
140;100;100;радость
142;100;100;радость
144;100;100;радость
146;100;100;радость
148;100;100;радость
150;100;100;радость
152;100;100;радость
154;100;100;радость
156;100;100;радость
158;100;100;радость
160;100;100;радость
162;100;100;радость
164;100;100;радость
166;100;100;радость
168;100;100;радость
170;100;100;радость
172;100;100;радость
174;100;100;радость
176;100;100;радость
178;100;100;радость
180;100;100;радость
182;100;100;радость
184;100;100;радость
186;100;100;радость
188;100;100;радость
190;100;100;радость
192;100;100;радость
194;100;100;радость
196;100;100;радость
198;100;100;радость
200;100;100;радость
202;100;100;радость
204;100;100;радость
206;100;100;радость
208;100;100;радость
210;100;100;радость
212;100;100;радость
214;100;100;радость
216;100;100;радость
218;100;100;радость
220;100;100;радость
222;100;100;радость
224;100;100;радость
226;100;100;радость
228;100;100;радость
230;100;100;радость
232;100;100;радость
234;100;100;радость
236;100;100;радость
238;100;100;радость
240;100;100;радость
242;100;100;радость
244;100;100;радость
246;100;100;радость
248;100;100;радость
250;100;100;радость
252;100;100;радость
254;100;100;радость
256;100;100;радость
258;100;100;радость
260;100;100;радость
262;100;100;радость
264;100;100;радость
266;100;100;радость
268;100;100;радость
270;100;100;радость
272;100;100;радость
274;100;100;радость
276;100;100;радость
278;100;100;радость
280;100;100;радость
282;100;100;радость
284;100;100;радость
286;100;100;радость
288;100;100;радость
290;100;100;радость
292;100;100;радость
294;100;100;радость
296;100;100;радость
298;100;100;радость
300;100;100;радость
302;100;100;радость
304;100;100;радость
306;100;100;радость
308;100;100;радость
310;100;100;радость
312;100;100;радость
314;100;100;радость
316;100;100;радость
318;100;100;радость
320;100;100;радость
322;100;100;радость
324;100;100;радость
326;100;100;радость
328;100;100;радость
330;100;100;радость
332;100;100;радость
334;100;100;радость
336;100;100;радость
338;100;100;радость
340;100;100;радость
342;100;100;радость
344;100;100;радость
346;100;100;радость
348;100;100;радость
350;100;100;радость
352;100;100;радость
354;100;100;радость
356;100;100;радость
358;100;100;радость
0;0;100;радость
2;2;100;радость
4;4;100;радость
6;6;100;радость
8;8;100;радость
10;10;100;радость
12;12;100;радость
14;14;100;радость
16;16;100;радость
18;18;100;радость
20;20;100;радость
22;22;100;радость
24;24;100;радость
26;26;100;радость
28;28;100;радость
30;30;100;радость
32;32;100;радость
34;34;100;радость
36;36;100;радость
38;38;100;радость
40;40;100;радость
42;42;100;радость
44;44;100;радость
46;46;100;радость
48;48;100;радость
50;50;100;радость
52;52;100;радость
54;54;100;радость
56;56;100;радость
58;58;100;радость
60;60;100;радость
62;62;100;радость
64;64;100;радость
66;66;100;радость
68;68;100;радость
70;70;100;радость
72;72;100;радость
74;74;100;радость
76;76;100;радость
78;78;100;радость
80;80;100;радость
82;82;100;радость
84;84;100;радость
86;86;100;радость
88;88;100;радость
90;90;100;радость
92;92;100;радость
94;94;100;радость
96;96;100;радость
98;98;100;радость
100;100;100;радость
102;0;100;радость
104;2;100;радость
106;4;100;радость
108;6;100;радость
110;8;100;радость
112;10;100;радость
114;12;100;радость
116;14;100;радость
118;16;100;радость
120;18;100;радость
122;20;100;радость
124;22;100;радость
126;24;100;радость
128;26;100;радость
130;28;100;радость
132;30;100;радость
134;32;100;радость
136;34;100;радость
138;36;100;радость
140;38;100;радость
142;40;100;радость
144;42;100;радость
146;44;100;радость
148;46;100;радость
150;48;100;радость
152;50;100;радость
154;52;100;радость
156;54;100;радость
158;56;100;радость
160;58;100;радость
162;60;100;радость
164;62;100;радость
166;64;100;радость
168;66;100;радость
170;68;100;радость
172;70;100;радость
174;72;100;радость
176;74;100;радость
178;76;100;радость
180;78;100;радость
182;80;100;радость
184;82;100;радость
186;84;100;радость
188;86;100;радость
190;88;100;радость
192;90;100;радость
194;92;100;радость
196;94;100;радость
198;96;100;радость
200;98;100;радость
202;100;100;радость
204;0;100;радость
206;2;100;радость
208;4;100;радость
210;6;100;радость
212;8;100;радость
214;10;100;радость
216;12;100;радость
218;14;100;радость
220;16;100;радость
222;18;100;радость
224;20;100;радость
226;22;100;радость
228;24;100;радость
230;26;100;радость
232;28;100;радость
234;30;100;радость
236;32;100;радость
238;34;100;радость
240;36;100;радость
242;38;100;радость
244;40;100;радость
246;42;100;радость
248;44;100;радость
250;46;100;радость
252;48;100;радость
254;50;100;радость
256;52;100;радость
258;54;100;радость
260;56;100;радость
262;58;100;радость
264;60;100;радость
266;62;100;радость
268;64;100;радость
270;66;100;радость
272;68;100;радость
274;70;100;радость
276;72;100;радость
278;74;100;радость
280;76;100;радость
282;78;100;радость
284;80;100;радость
286;82;100;радость
288;84;100;радость
290;86;100;радость
292;88;100;радость
294;90;100;радость
296;92;100;радость
298;94;100;радость
300;96;100;радость
302;98;100;радость
304;100;100;радость
306;0;100;радость
308;2;100;радость
310;4;100;радость
312;6;100;радость
314;8;100;радость
316;10;100;радость
318;12;100;радость
320;14;100;радость
322;16;100;радость
324;18;100;радость
326;20;100;радость
328;22;100;радость
330;24;100;радость
332;26;100;радость
334;28;100;радость
336;30;100;радость
338;32;100;радость
340;34;100;радость
342;36;100;радость
344;38;100;радость
346;40;100;радость
348;42;100;радость
350;44;100;радость
352;46;100;радость
354;48;100;радость
356;50;100;радость
358;52;100;радость
360;52;100;радость
0;0;10;грусть
2;0;12;грусть
4;0;14;грусть
6;0;16;грусть
8;0;18;грусть
10;0;20;грусть
12;0;22;грусть
14;0;24;грусть
16;0;26;грусть
18;0;28;грусть
20;0;10;грусть
22;0;12;грусть
24;0;14;грусть
26;0;16;грусть
28;0;18;грусть
30;0;20;грусть
32;0;22;грусть
34;0;24;грусть
36;0;26;грусть
38;0;28;грусть
40;0;10;грусть
42;0;12;грусть
44;0;14;грусть
46;0;16;грусть
48;0;18;грусть
50;0;20;грусть
52;0;22;грусть
54;0;24;грусть
56;0;26;грусть
58;0;28;грусть
60;0;10;грусть
62;0;12;грусть
64;0;14;грусть
66;0;16;грусть
68;0;18;грусть
70;0;20;грусть
72;0;22;грусть
74;0;24;грусть
76;0;26;грусть
78;0;28;грусть
80;0;10;грусть
82;0;12;грусть
84;0;14;грусть
86;0;16;грусть
88;0;18;грусть
90;0;20;грусть
92;0;22;грусть
94;0;24;грусть
96;0;26;грусть
98;0;28;грусть
100;0;10;грусть
102;0;12;грусть
104;0;14;грусть
106;0;16;грусть
108;0;18;грусть
110;0;20;грусть
112;0;22;грусть
114;0;24;грусть
116;0;26;грусть
118;0;28;грусть
120;0;10;грусть
122;0;12;грусть
124;0;14;грусть
126;0;16;грусть
128;0;18;грусть
130;0;20;грусть
132;0;22;грусть
134;0;24;грусть
136;0;26;грусть
138;0;28;грусть
140;0;10;грусть
142;0;12;грусть
144;0;14;грусть
146;0;16;грусть
148;0;18;грусть
150;0;20;грусть
152;0;22;грусть
154;0;24;грусть
156;0;26;грусть
158;0;28;грусть
160;0;10;грусть
162;0;12;грусть
164;0;14;грусть
166;0;16;грусть
168;0;18;грусть
170;0;20;грусть
172;0;22;грусть
174;0;24;грусть
176;0;26;грусть
178;0;28;грусть
180;0;10;грусть
182;0;12;грусть
184;0;14;грусть
186;0;16;грусть
188;0;18;грусть
190;0;20;грусть
192;0;22;грусть
194;0;24;грусть
196;0;26;грусть
198;0;28;грусть
200;0;10;грусть
202;0;12;грусть
204;0;14;грусть
206;0;16;грусть
208;0;18;грусть
210;0;20;грусть
212;0;22;грусть
214;0;24;грусть
216;0;26;грусть
218;0;28;грусть
220;0;10;грусть
222;0;12;грусть
224;0;14;грусть
226;0;16;грусть
228;0;18;грусть
230;0;20;грусть
232;0;22;грусть
234;0;24;грусть
236;0;26;грусть
238;0;28;грусть
240;0;10;грусть
242;0;12;грусть
244;0;14;грусть
246;0;16;грусть
248;0;18;грусть
250;0;20;грусть
252;0;22;грусть
254;0;24;грусть
256;0;26;грусть
258;0;28;грусть
260;0;10;грусть
262;0;12;грусть
264;0;14;грусть
266;0;16;грусть
268;0;18;грусть
270;0;20;грусть
272;0;22;грусть
274;0;24;грусть
276;0;26;грусть
278;0;28;грусть
280;0;10;грусть
282;0;12;грусть
284;0;14;грусть
286;0;16;грусть
288;0;18;грусть
290;0;20;грусть
292;0;22;грусть
294;0;24;грусть
296;0;26;грусть
298;0;28;грусть
300;0;10;грусть
302;0;12;грусть
304;0;14;грусть
306;0;16;грусть
308;0;18;грусть
310;0;20;грусть
312;0;22;грусть
314;0;24;грусть
316;0;26;грусть
318;0;28;грусть
320;0;10;грусть
322;0;12;грусть
324;0;14;грусть
326;0;16;грусть
328;0;18;грусть
330;0;20;грусть
332;0;22;грусть
334;0;24;грусть
336;0;26;грусть
338;0;28;грусть
340;0;10;грусть
342;0;12;грусть
344;0;14;грусть
346;0;16;грусть
348;0;18;грусть
350;0;20;грусть
352;0;22;грусть
354;0;24;грусть
356;0;26;грусть
358;0;28;грусть
0;10;10;грусть
2;10;12;грусть
4;10;14;грусть
6;10;16;грусть
8;10;18;грусть
10;10;20;грусть
12;10;22;грусть
14;10;24;грусть
16;10;26;грусть
18;10;28;грусть
20;10;10;грусть
22;10;12;грусть
24;10;14;грусть
26;10;16;грусть
28;10;18;грусть
30;10;20;грусть
32;10;22;грусть
34;10;24;грусть
36;10;26;грусть
38;10;28;грусть
40;10;10;грусть
42;10;12;грусть
44;10;14;грусть
46;10;16;грусть
48;10;18;грусть
50;10;20;грусть
52;10;22;грусть
54;10;24;грусть
56;10;26;грусть
58;10;28;грусть
60;10;10;грусть
62;10;12;грусть
64;10;14;грусть
66;10;16;грусть
68;10;18;грусть
70;10;20;грусть
72;10;22;грусть
74;10;24;грусть
76;10;26;грусть
78;10;28;грусть
80;10;10;грусть
82;10;12;грусть
84;10;14;грусть
86;10;16;грусть
88;10;18;грусть
90;10;20;грусть
92;10;22;грусть
94;10;24;грусть
96;10;26;грусть
98;10;28;грусть
100;10;10;грусть
102;10;12;грусть
104;10;14;грусть
106;10;16;грусть
108;10;18;грусть
110;10;20;грусть
112;10;22;грусть
114;10;24;грусть
116;10;26;грусть
118;10;28;грусть
120;10;10;грусть
122;10;12;грусть
124;10;14;грусть
126;10;16;грусть
128;10;18;грусть
130;10;20;грусть
132;10;22;грусть
134;10;24;грусть
136;10;26;грусть
138;10;28;грусть
140;10;10;грусть
142;10;12;грусть
144;10;14;грусть
146;10;16;грусть
148;10;18;грусть
150;10;20;грусть
152;10;22;грусть
154;10;24;грусть
156;10;26;грусть
158;10;28;грусть
160;10;10;грусть
162;10;12;грусть
164;10;14;грусть
166;10;16;грусть
168;10;18;грусть
170;10;20;грусть
172;10;22;грусть
174;10;24;грусть
176;10;26;грусть
178;10;28;грусть
180;10;10;грусть
182;10;12;грусть
184;10;14;грусть
186;10;16;грусть
188;10;18;грусть
190;10;20;грусть
192;10;22;грусть
194;10;24;грусть
196;10;26;грусть
198;10;28;грусть
200;10;10;грусть
202;10;12;грусть
204;10;14;грусть
206;10;16;грусть
208;10;18;грусть
210;10;20;грусть
212;10;22;грусть
214;10;24;грусть
216;10;26;грусть
218;10;28;грусть
220;10;10;грусть
222;10;12;грусть
224;10;14;грусть
226;10;16;грусть
228;10;18;грусть
230;10;20;грусть
232;10;22;грусть
234;10;24;грусть
236;10;26;грусть
238;10;28;грусть
240;10;10;грусть
242;10;12;грусть
244;10;14;грусть
246;10;16;грусть
248;10;18;грусть
250;10;20;грусть
252;10;22;грусть
254;10;24;грусть
256;10;26;грусть
258;10;28;грусть
260;10;10;грусть
262;10;12;грусть
264;10;14;грусть
266;10;16;грусть
268;10;18;грусть
270;10;20;грусть
272;10;22;грусть
274;10;24;грусть
276;10;26;грусть
278;10;28;грусть
280;10;10;грусть
282;10;12;грусть
284;10;14;грусть
286;10;16;грусть
288;10;18;грусть
290;10;20;грусть
292;10;22;грусть
294;10;24;грусть
296;10;26;грусть
298;10;28;грусть
300;10;10;грусть
302;10;12;грусть
304;10;14;грусть
306;10;16;грусть
308;10;18;грусть
310;10;20;грусть
312;10;22;грусть
314;10;24;грусть
316;10;26;грусть
318;10;28;грусть
320;10;10;грусть
322;10;12;грусть
324;10;14;грусть
326;10;16;грусть
328;10;18;грусть
330;10;20;грусть
332;10;22;грусть
334;10;24;грусть
336;10;26;грусть
338;10;28;грусть
340;10;10;грусть
342;10;12;грусть
344;10;14;грусть
346;10;16;грусть
348;10;18;грусть
350;10;20;грусть
352;10;22;грусть
354;10;24;грусть
356;10;26;грусть
358;10;28;грусть
0;100;100;радость
2;100;100;радость
4;100;100;радость
6;100;100;радость
8;100;100;радость
10;100;100;радость
12;100;100;радость
14;100;100;радость
16;100;100;радость
18;100;100;радость
20;100;100;радость
22;100;100;радость
24;100;100;радость
26;100;100;радость
28;100;100;радость
30;100;100;радость
32;100;100;радость
34;100;100;радость
36;100;100;радость
38;100;100;радость
40;100;100;радость
42;100;100;радость
44;100;100;радость
46;100;100;радость
48;100;100;радость
50;100;100;радость
52;100;100;радость
54;100;100;радость
56;100;100;радость
58;100;100;радость
60;100;100;радость
62;100;100;радость
64;100;100;радость
66;100;100;радость
68;100;100;радость
70;100;100;радость
72;100;100;радость
74;100;100;радость
76;100;100;радость
78;100;100;радость
80;100;100;радость
82;100;100;радость
84;100;100;радость
86;100;100;радость
88;100;100;радость
90;100;100;радость
92;100;100;радость
94;100;100;радость
96;100;100;радость
98;100;100;радость
100;100;100;радость
102;100;100;радость
104;100;100;радость
106;100;100;радость
108;100;100;радость
110;100;100;радость
112;100;100;радость
114;100;100;радость
116;100;100;радость
118;100;100;радость
120;100;100;радость
122;100;100;радость
124;100;100;радость
126;100;100;радость
128;100;100;радость
130;100;100;радость
132;100;100;радость
134;100;100;радость
136;100;100;радость
138;100;100;радость
140;100;100;радость
142;100;100;радость
144;100;100;радость
146;100;100;радость
148;100;100;радость
150;100;100;радость
152;100;100;радость
154;100;100;радость
156;100;100;радость
158;100;100;радость
160;100;100;радость
162;100;100;радость
164;100;100;радость
166;100;100;радость
168;100;100;радость
170;100;100;радость
172;100;100;радость
174;100;100;радость
176;100;100;радость
178;100;100;радость
180;100;100;радость
182;100;100;радость
184;100;100;радость
186;100;100;радость
188;100;100;радость
190;100;100;радость
192;100;100;радость
194;100;100;радость
196;100;100;радость
198;100;100;радость
200;100;100;радость
202;100;100;радость
204;100;100;радость
206;100;100;радость
208;100;100;радость
210;100;100;радость
212;100;100;радость
214;100;100;радость
216;100;100;радость
218;100;100;радость
220;100;100;радость
222;100;100;радость
224;100;100;радость
226;100;100;радость
228;100;100;радость
230;100;100;радость
232;100;100;радость
234;100;100;радость
236;100;100;радость
238;100;100;радость
240;100;100;радость
242;100;100;радость
244;100;100;радость
246;100;100;радость
248;100;100;радость
250;100;100;радость
252;100;100;радость
254;100;100;радость
256;100;100;радость
258;100;100;радость
260;100;100;радость
262;100;100;радость
264;100;100;радость
266;100;100;радость
268;100;100;радость
270;100;100;радость
272;100;100;радость
274;100;100;радость
276;100;100;радость
278;100;100;радость
280;100;100;радость
282;100;100;радость
284;100;100;радость
286;100;100;радость
288;100;100;радость
290;100;100;радость
292;100;100;радость
294;100;100;радость
296;100;100;радость
298;100;100;радость
300;100;100;радость
302;100;100;радость
304;100;100;радость
306;100;100;радость
308;100;100;радость
310;100;100;радость
312;100;100;радость
314;100;100;радость
316;100;100;радость
318;100;100;радость
320;100;100;радость
322;100;100;радость
324;100;100;радость
326;100;100;радость
328;100;100;радость
330;100;100;радость
332;100;100;радость
334;100;100;радость
336;100;100;радость
338;100;100;радость
340;100;100;радость
342;100;100;радость
344;100;100;радость
346;100;100;радость
348;100;100;радость
350;100;100;радость
352;100;100;радость
354;100;100;радость
356;100;100;радость
358;100;100;радость
0;0;0;грусть
2;0;0;грусть
4;0;0;грусть
6;0;0;грусть
8;0;0;грусть
10;0;0;грусть
12;0;0;грусть
14;0;0;грусть
16;0;0;грусть
18;0;0;грусть
20;0;0;грусть
22;0;0;грусть
24;0;0;грусть
26;0;0;грусть
28;0;0;грусть
30;0;0;грусть
32;0;0;грусть
34;0;0;грусть
36;0;0;грусть
38;0;0;грусть
40;0;0;грусть
42;0;0;грусть
44;0;0;грусть
46;0;0;грусть
48;0;0;грусть
50;0;0;грусть
52;0;0;грусть
54;0;0;грусть
56;0;0;грусть
58;0;0;грусть
60;0;0;грусть
62;0;0;грусть
64;0;0;грусть
66;0;0;грусть
68;0;0;грусть
70;0;0;грусть
72;0;0;грусть
74;0;0;грусть
76;0;0;грусть
78;0;0;грусть
80;0;0;грусть
82;0;0;грусть
84;0;0;грусть
86;0;0;грусть
88;0;0;грусть
90;0;0;грусть
92;0;0;грусть
94;0;0;грусть
96;0;0;грусть
98;0;0;грусть
100;0;0;грусть
102;0;0;грусть
104;0;0;грусть
106;0;0;грусть
108;0;0;грусть
110;0;0;грусть
112;0;0;грусть
114;0;0;грусть
116;0;0;грусть
118;0;0;грусть
120;0;0;грусть
122;0;0;грусть
124;0;0;грусть
126;0;0;грусть
128;0;0;грусть
130;0;0;грусть
132;0;0;грусть
134;0;0;грусть
136;0;0;грусть
138;0;0;грусть
140;0;0;грусть
142;0;0;грусть
144;0;0;грусть
146;0;0;грусть
148;0;0;грусть
150;0;0;грусть
152;0;0;грусть
154;0;0;грусть
156;0;0;грусть
158;0;0;грусть
160;0;0;грусть
162;0;0;грусть
164;0;0;грусть
166;0;0;грусть
168;0;0;грусть
170;0;0;грусть
172;0;0;грусть
174;0;0;грусть
176;0;0;грусть
178;0;0;грусть
180;0;0;грусть
182;0;0;грусть
184;0;0;грусть
186;0;0;грусть
188;0;0;грусть
190;0;0;грусть
192;0;0;грусть
194;0;0;грусть
196;0;0;грусть
198;0;0;грусть
200;0;0;грусть
202;0;0;грусть
204;0;0;грусть
206;0;0;грусть
208;0;0;грусть
210;0;0;грусть
212;0;0;грусть
214;0;0;грусть
216;0;0;грусть
218;0;0;грусть
220;0;0;грусть
222;0;0;грусть
224;0;0;грусть
226;0;0;грусть
228;0;0;грусть
230;0;0;грусть
232;0;0;грусть
